date,sku_id,units_sold,price,promotion_flag
2022-01-01,SKU_001,64,213258.0,1
2022-01-01,SKU_001,43,206576.0,0
2022-01-01,SKU_001,70,212800.0,0
2022-01-01,SKU_001,48,209081.0,0
2022-01-01,SKU_001,24,209606.0,0
2022-01-01,SKU_001,46,213391.0,0
2022-01-01,SKU_001,49,210264.0,0
2022-01-01,SKU_001,19,206161.0,0
2022-01-01,SKU_001,50,200273.0,1
2022-01-01,SKU_002,18,93975.0,0
2022-01-01,SKU_002,23,90601.0,0
2022-01-01,SKU_002,25,93410.0,0
2022-01-01,SKU_002,28,92446.0,1
2022-01-01,SKU_002,27,92401.0,0
2022-01-01,SKU_002,17,94438.0,0
2022-01-01,SKU_002,27,92780.0,0
2022-01-01,SKU_002,30,91268.0,0
2022-01-01,SKU_002,28,88805.0,0
2022-01-01,SKU_003,19,558105.0,0
2022-01-01,SKU_003,9,542937.0,0
2022-01-01,SKU_003,0,557160.0,0
2022-01-01,SKU_003,0,551462.0,0
2022-01-01,SKU_003,4,550195.0,0
2022-01-01,SKU_003,2,563539.0,0
2022-01-01,SKU_003,2,552950.0,0
2022-01-01,SKU_003,8,544949.0,0
2022-01-01,SKU_003,2,531702.0,0
2022-01-02,SKU_001,34,221690.0,0
2022-01-02,SKU_001,46,195167.0,0
2022-01-02,SKU_001,140,189396.0,1
2022-01-02,SKU_001,50,215101.0,0
2022-01-02,SKU_001,89,211471.0,1
2022-01-02,SKU_001,286,207727.0,1
2022-01-02,SKU_001,94,215441.0,0
2022-01-02,SKU_001,69,199102.0,0
2022-01-02,SKU_001,69,197028.0,0
2022-01-02,SKU_002,52,93128.0,0
2022-01-02,SKU_002,35,91529.0,0
2022-01-02,SKU_002,33,98321.0,0
2022-01-02,SKU_002,45,90511.0,1
2022-01-02,SKU_002,64,81898.0,1
2022-01-02,SKU_002,46,89974.0,0
2022-01-02,SKU_002,37,95328.0,0
2022-01-02,SKU_002,20,87542.0,0
2022-01-02,SKU_002,62,84120.0,1
2022-01-02,SKU_003,12,527753.0,0
2022-01-02,SKU_003,5,553598.0,0
2022-01-02,SKU_003,0,630438.0,0
2022-01-02,SKU_003,0,547120.0,0
2022-01-02,SKU_003,24,596419.0,0
2022-01-02,SKU_003,0,559567.0,0
2022-01-02,SKU_003,6,568281.0,0
2022-01-02,SKU_003,12,524533.0,0
2022-01-02,SKU_003,9,495711.0,0
2022-01-03,SKU_001,109,201116.0,1
2022-01-03,SKU_001,81,195652.0,0
2022-01-03,SKU_001,95,190392.0,0
2022-01-03,SKU_001,60,221990.0,0
2022-01-03,SKU_001,101,188815.0,1
2022-01-03,SKU_001,101,205068.0,0
2022-01-03,SKU_001,56,204904.0,0
2022-01-03,SKU_001,56,200629.0,0
2022-01-03,SKU_001,72,194414.0,0
2022-01-03,SKU_002,28,100563.0,0
2022-01-03,SKU_002,37,88959.0,0
2022-01-03,SKU_002,55,100582.0,0
2022-01-03,SKU_002,43,90126.0,1
2022-01-03,SKU_002,46,82225.0,0
2022-01-03,SKU_002,55,91239.0,0
2022-01-03,SKU_002,32,101491.0,0
2022-01-03,SKU_002,75,78323.0,1
2022-01-03,SKU_002,53,77110.0,0
2022-01-03,SKU_003,1,575975.0,0
2022-01-03,SKU_003,0,600092.0,0
2022-01-03,SKU_003,1,635434.0,0
2022-01-03,SKU_003,0,624829.0,0
2022-01-03,SKU_003,0,693868.0,0
