date,sku_id,units_sold,price,promotion_flag
2022-01-01,SKU_001,116,213258.0,1
2022-01-01,SKU_001,125,213463.0,1
2022-01-01,SKU_001,91,203704.0,1
2022-01-01,SKU_001,193,207954.0,0
2022-01-01,SKU_001,91,213854.0,0
2022-01-01,SKU_001,83,215395.0,0
2022-01-01,SKU_001,76,204099.0,0
2022-01-01,SKU_001,50,209435.0,0
2022-01-01,SKU_001,72,207267.0,0
2022-01-01,SKU_002,36,93813.0,0
2022-01-01,SKU_002,29,93655.0,0
2022-01-01,SKU_002,37,90692.0,0
2022-01-01,SKU_002,30,91814.0,0
2022-01-01,SKU_002,36,94508.0,0
2022-01-01,SKU_002,49,94624.0,0
2022-01-01,SKU_002,46,90295.0,0
2022-01-01,SKU_002,43,92188.0,0
2022-01-01,SKU_002,27,91953.0,0
2022-01-01,SKU_003,4,560045.0,1
2022-01-01,SKU_003,30,562254.0,0
2022-01-01,SKU_003,8,538519.0,0
2022-01-01,SKU_003,21,549572.0,0
2022-01-01,SKU_003,16,565910.0,0
2022-01-01,SKU_003,4,563473.0,0
2022-01-01,SKU_003,0,534925.0,1
2022-01-01,SKU_003,26,551462.0,0
2022-01-01,SKU_003,7,548146.0,0
2022-01-02,SKU_001,75,221840.0,0
2022-01-02,SKU_001,150,199889.0,1
2022-01-02,SKU_001,201,188191.0,1
2022-01-02,SKU_001,107,204816.0,0
2022-01-02,SKU_001,130,194379.0,1
2022-01-02,SKU_001,82,207488.0,0
2022-01-02,SKU_001,77,206488.0,0
2022-01-02,SKU_001,84,210595.0,0
2022-01-02,SKU_001,93,208898.0,0
2022-01-02,SKU_002,56,86017.0,0
2022-01-02,SKU_002,41,94476.0,0
2022-01-02,SKU_002,49,87391.0,0
2022-01-02,SKU_002,65,92355.0,0
2022-01-02,SKU_002,64,93130.0,0
2022-01-02,SKU_002,30,100159.0,0
2022-01-02,SKU_002,62,86583.0,0
2022-01-02,SKU_002,86,83784.0,1
2022-01-02,SKU_002,35,91388.0,0
2022-01-02,SKU_003,88,498437.0,1
2022-01-02,SKU_003,39,546371.0,0
2022-01-02,SKU_003,18,507882.0,1
2022-01-02,SKU_003,21,559166.0,0
2022-01-02,SKU_003,24,614503.0,0
2022-01-02,SKU_003,3,554415.0,0
2022-01-02,SKU_003,16,476149.0,1
2022-01-02,SKU_003,20,565691.0,0
2022-01-02,SKU_003,18,589763.0,0
2022-01-03,SKU_001,175,202232.0,1
2022-01-03,SKU_001,118,202387.0,0
2022-01-03,SKU_001,97,189176.0,0
2022-01-03,SKU_001,101,195433.0,0
2022-01-03,SKU_001,113,194242.0,0
2022-01-03,SKU_001,96,206971.0,0
2022-01-03,SKU_001,149,198942.0,0
2022-01-03,SKU_001,106,212612.0,0
2022-01-03,SKU_001,96,206982.0,0
2022-01-03,SKU_002,107,86476.0,1
2022-01-03,SKU_002,46,96598.0,0
2022-01-03,SKU_002,61,87101.0,0
2022-01-03,SKU_002,78,89819.0,1
2022-01-03,SKU_002,73,92690.0,0
2022-01-03,SKU_002,66,97020.0,0
2022-01-03,SKU_002,68,85592.0,0
2022-01-03,SKU_002,117,83828.0,1
2022-01-03,SKU_002,61,87471.0,0
2022-01-03,SKU_003,7,497111.0,1
2022-01-03,SKU_003,9,521366.0,0
2022-01-03,SKU_003,12,478320.0,1
2022-01-03,SKU_003,88,491425.0,1
2022-01-03,SKU_003,5,597234.0,0
2022-01-03,SKU_003,8,599148.0,0
2022-01-03,SKU_003,21,478079.0,0
2022-01-03,SKU_003,22,565787.0,0
2022-01-03,SKU_003,1,556601.0,0
2022-01-04,SKU_001,87,206849.0,0
2022-01-04,SKU_001,104,202193.0,0
2022-01-04,SKU_001,78,192839.0,0
2022-01-04,SKU_001,136,189063.0,1
2022-01-04,SKU_001,110,198229.0,0
2022-01-04,SKU_001,105,211876.0,0
2022-01-04,SKU_001,91,202319.0,0
2022-01-04,SKU_001,148,193378.0,1
2022-01-04,SKU_001,99,211698.0,0
2022-01-04,SKU_002,48,85203.0,0
2022-01-04,SKU_002,71,97131.0,1
2022-01-04,SKU_002,46,86123.0,0
2022-01-04,SKU_002,48,85923.0,0
2022-01-04,SKU_002,58,90715.0,0
2022-01-04,SKU_002,66,93907.0,0
2022-01-04,SKU_002,41,83248.0,0
2022-01-04,SKU_002,99,83468.0,1
2022-01-04,SKU_002,54,91354.0,0
2022-01-04,SKU_003,5,502107.0,0
2022-01-04,SKU_003,52,537821.0,0
2022-01-04,SKU_003,23,487285.0,0
2022-01-04,SKU_003,4,496895.0,1
2022-01-04,SKU_003,46,582099.0,0
2022-01-04,SKU_003,24,572817.0,0
2022-01-04,SKU_003,24,481235.0,0
2022-01-04,SKU_003,89,560690.0,0
2022-01-04,SKU_003,38,513509.0,0
2022-01-05,SKU_001,113,203413.0,1
2022-01-05,SKU_001,88,195614.0,0
2022-01-05,SKU_001,127,191362.0,1
2022-01-05,SKU_001,65,189240.0,0
2022-01-05,SKU_001,67,201290.0,0
2022-01-05,SKU_001,140,199729.0,1
2022-01-05,SKU_001,76,204018.0,0
2022-01-05,SKU_001,85,192525.0,0
2022-01-05,SKU_001,59,203377.0,0
2022-01-05,SKU_002,62,85213.0,1
2022-01-05,SKU_002,38,96611.0,0
2022-01-05,SKU_002,33,91221.0,0
